CARNET;ID_CIUDAD;NOMBRE;APELLIDO;CEDULA;RIF;TELEFONO;FAX;DIRECCION;COD_SUCURSAL
PDR-641357;13;Merrill;Blanchard;E-89594759;RIA-7487671-3;733-7773;371-1291;535-7264 Amet Ctra.;3
PLR-756514;1;Lisandra;Church;O-87758269;RIo-9644282-6;1-968-979-8712;1-927-285-7164;9155 Libero Ctra.;11
PNR-248481;2;Mara;Vargas;O-75189673;RIa-2753473-1;432-3013;1-691-466-4248;Apdo.:493-7020 Egestas. ;2
PPR-723468;24;Kieran;Lynn;O-19384616;RIU-6552149-2;522-7058;346-9458;8765 Lobortis ;3
PCR-445426;17;Karen;Rodriguez;A-67992883;RIE-4511841-4;1-238-308-6254;343-8954;3712 Vivamus Ctra.;4
PLR-139387;22;Martina;Irwin;A-62372198;RII-9638294-1;1-732-540-1018;1-416-723-9636;239-2929 Arcu Calle;13
PWR-126147;15;Yoshio;Glass;A-72849537;RII-8343679-3;858-7768;275-6756;Apdo.:451-7218 Morbi Carretera;4
PBR-117234;6;Cedric;Pollard;I-52576984;RIA-2413882-9;824-3541;391-7403;Apartado núm.: 431, 1127 Et Ctra.;15
PQR-452381;6;Eliana;Humphrey;I-58816373;RIe-3128526-3;1-200-269-7193;1-187-494-2093;1824 Purus C/;14
PQR-218198;17;Robin;Combs;E-26471923;RII-2815993-5;1-336-135-7483;397-2272;Apartado núm.: 288, 1775 Luctus Calle;6
PCR-614351;19;Zia;Webster;I-61155263;RIi-7411156-9;315-1863;1-859-670-1330;1251 Tincidunt, Avda.;16
PTR-968743;15;Troy;Riddle;U-15396465;RIU-3856465-6;1-210-493-1159;836-9619;Apartado núm.: 752, 812 Sit Avda.;12
PPR-155848;18;Malcolm;Pearson;U-68639665;RIE-1487335-6;1-143-883-8984;467-3462;613-6528 Dui. Av.;7
PWR-717435;21;Felix;Lee;A-19321123;RIU-3224928-7;476-0758;134-4087;8336 Donec Avenida;15
PVR-584372;13;Lesley;Patel;I-71244352;RIi-2995163-2;596-1886;643-6697;Apartado núm.: 707, 5349 Placerat, Avenida;18
PPR-922749;22;Dylan;Roy;O-15263615;RIe-2267516-3;412-9339;1-666-783-0923;Apdo.:546-4630 Donec C/;4
PRR-823597;18;Maggie;Griffin;A-75935329;RIa-9934236-3;1-309-817-6097;1-327-801-3647;2656 Turpis. C/;5
PPR-169754;23;Bethany;Reynolds;U-64942556;RIu-2774547-8;1-628-297-8382;945-1157;177-4775 Dis Avda.;12
PDR-879133;11;Galena;Mcclain;E-79289669;RIE-8661311-7;1-871-813-2814;1-145-342-3980;Apartado núm.: 617, 2817 In, Carretera;9
PHR-432491;13;Victoria;Finch;O-39488224;RIU-5221269-4;114-1883;538-9458;Apdo.:524-931 Lacus Av.;16
PSR-423397;18;Wade;Skinner;A-92476382;RIu-6855561-3;243-2606;1-318-698-6213;241-4041 Nibh Carretera;2
PZR-472587;11;Deirdre;Brewer;I-94856551;RIA-4586678-1;1-297-918-8093;855-4821;Apartado núm.: 740, 6824 Metus Avda.;10
PKR-433997;24;Guinevere;Powell;U-12757679;RIi-4759713-1;1-140-618-3344;1-840-956-0723;475-8791 Urna Avenida;11
PQR-915445;1;Carolyn;Estrada;E-42291794;RIA-7569123-6;1-709-569-9057;1-782-145-4502;Apartado núm.: 709, 2511 Per Avenida;1
PSR-782162;10;Lesley;Mcdaniel;I-17264789;RIE-4322921-1;339-0138;1-226-366-0049;Apartado núm.: 435, 500 Turpis ;11
PRR-837446;14;Celeste;Fox;A-23826892;RIi-9884871-7;765-6978;126-9507;Apdo.:670-1730 Massa. C.;17
PPR-846311;6;Denton;Dean;O-28971844;RIe-8933468-7;900-4199;1-693-450-6386;Apdo.:429-8940 Nunc Avda.;3
PTR-869337;11;Zephr;Stark;I-17995585;RIe-8828838-2;870-8494;237-9829;Apartado núm.: 373, 5560 Dictum Avenida;12
PNR-699383;11;Scott;Dorsey;O-39186782;RIe-8291889-3;963-2806;1-738-199-6048;Apartado núm.: 816, 5526 Sed C.;14
PMR-512113;16;Uriel;Sharpe;I-85983394;RIA-3773325-7;1-478-985-6256;314-3568;291-8597 At ;4
PSR-299654;3;Barbara;Hawkins;I-58327148;RIo-6956533-5;1-816-941-6274;1-164-409-8380;Apdo.:114-5178 Semper Ctra.;17
PXR-954539;4;Claudia;Sexton;I-78954533;RIe-9634345-4;888-7759;389-4207;Apdo.:946-8574 Nullam Carretera;18
PMR-691838;11;Benjamin;Gibson;U-95636972;RIO-3832669-2;939-4074;1-158-341-9515;9338 Tempus, Avenida;5
PQR-548937;2;Portia;Kelley;E-51317112;RIU-9939174-6;1-384-634-7701;594-5432;Apdo.:134-2982 Ut Avenida;17
PHR-368942;23;Ruby;Haney;E-14499294;RIO-1187821-2;1-292-849-8347;511-1987;829-2727 Sit Av.;11
PVR-928643;23;Scarlet;Day;O-41889622;RIo-6486592-4;1-175-210-7735;1-432-327-9498;2004 Phasellus C/;12
PJR-568412;15;Kelly;Andrews;I-98436518;RIo-7298471-9;1-717-756-0158;1-308-263-1975;157-6263 Sem Av.;13
PBR-698242;10;Stacey;Hodges;E-53785968;RII-2696542-3;340-8592;138-6685;Apdo.:732-8241 Tellus. Calle;3
PHR-519952;3;Freya;Nolan;O-83653829;RIu-9588211-4;1-951-215-1048;204-2717;6663 Massa. Avda.;4
PJR-723593;15;McKenzie;Mueller;E-31811932;RIa-9388284-3;1-545-637-3442;691-0706;Apdo.:190-3180 Velit C.;19
PDR-935537;12;Jerry;Gregory;I-25735668;RIO-3652371-2;993-0737;835-8619;195-7250 Ultricies Avenida;14
PLR-887561;23;Dara;Reynolds;U-72178744;RIa-1554925-9;1-873-291-0871;775-6958;Apdo.:727-5930 Molestie ;16
PPR-381918;21;Gail;Sosa;I-42843474;RIe-8613693-4;276-1085;258-2199;Apartado núm.: 753, 8748 Porttitor Avenida;8
PPR-872447;12;Malcolm;Hester;E-13866291;RIU-4294136-6;199-6210;321-4364;201-2475 Lorem C.;17
PXR-316733;7;George;Reese;A-12346317;RIi-6329922-2;271-6802;1-841-151-8368;Apartado núm.: 286, 7741 Eleifend, Avenida;14
PKR-184954;25;Kaseem;Herman;E-51287185;RIo-6153862-9;956-2188;1-189-179-3579;126-7054 Morbi ;1
PKR-897259;25;Katelyn;Page;I-45732956;RIU-2847555-5;1-137-240-2480;1-972-313-4909;2622 Etiam ;9
PCR-245347;21;Kyle;Hunt;E-45262747;RIO-9694279-7;681-6074;1-392-334-0756;Apartado núm.: 993, 2308 Duis C/;19
PTR-529971;8;Willow;Joyce;I-26526251;RIA-7718555-3;152-7630;343-8332;6846 Elit Carretera;3
PZR-859163;20;Winifred;Gonzales;I-13752139;RII-9138818-1;683-6526;1-152-501-3087;160-902 Augue Avda.;2
PRR-992738;12;Yvonne;Cummings;E-48672151;RIU-2387724-5;453-3718;1-140-378-4890;Apartado núm.: 502, 7466 Quis Carretera;19
PRR-481557;6;Xyla;Rosales;O-44465362;RIu-9691226-1;1-167-169-3187;715-4712;Apdo.:181-6853 Dictum ;6
PGR-588874;13;Karen;Wong;I-86342223;RIU-4448554-3;923-2329;413-7517;9109 Massa. C.;5
PPR-569585;23;Zahir;Lee;U-13974272;RIa-7631383-8;1-712-145-2924;455-2702;346-1044 In, Calle;4
PCR-318276;18;Leila;Glass;A-64196818;RII-2286933-4;1-575-591-4773;434-2056;283-1053 Cras Carretera;2
PKR-517523;17;Lance;Hensley;O-14113848;RII-8259466-2;1-476-746-2150;1-738-515-4561;Apdo.:896-7425 Eu, Av.;11
PPR-471153;13;Hayley;Hull;A-76716579;RIO-6779628-7;1-394-440-0942;903-9771;Apdo.:443-6001 Eget ;14
PWR-231598;23;Lester;Spears;E-15832714;RII-7991768-1;1-541-743-9387;885-6792;Apartado núm.: 160, 632 Malesuada ;15
PLR-736751;17;Steven;Sanford;E-92233152;RIE-3769712-1;762-3345;646-7861;Apdo.:120-679 At Calle;6
PRR-991393;21;Steel;Sweet;O-29999154;RIO-1784676-5;306-2427;1-907-620-9473;670-1119 Turpis Avenida;11
PKR-966518;14;Rachel;Callahan;O-78663986;RIa-8653234-8;779-3826;330-7282;975-9028 Vel Carretera;16
PGR-476341;3;Joseph;Murray;O-16399491;RIE-3633568-8;361-2488;541-9796;Apartado núm.: 431, 6696 Suspendisse Calle;1
PVR-232126;13;Jennifer;Durham;I-13184257;RIu-2547483-3;1-989-542-7363;1-487-921-4043;Apartado núm.: 670, 2006 Nulla Carretera;14
PYR-867111;6;Clayton;Porter;O-22389118;RIA-1614274-7;1-300-803-4118;438-6394;Apartado núm.: 898, 1725 Hendrerit ;19
